DLL Path: C:\Windows\System32\msdart.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
?ConvertExclusiveToShared@CLKRLinearHashTable@@QEBAXXZ                                               0x88c37aed                                         
?ConvertExclusiveToShared@CReaderWriterLock2@@QEAAXXZ                                                0x2e5968c7                                         
?ConvertExclusiveToShared@CReaderWriterLock3@@QEAAXXZ                                                0x3263f9e8                                         
?ConvertExclusiveToShared@CReaderWriterLock3AR@@QEAAXXZ                                              0xa723f57b                                         
?ConvertExclusiveToShared@CReaderWriterLock@@QEAAXXZ                                                 0x608dddf5                                         
?ConvertExclusiveToShared@CSmallSpinLock@@QEAAXXZ                                                    0xb9414e58                                         
?ConvertExclusiveToShared@CSpinLock@@QEAAXXZ                                                         0x082cf6df                                         
?ConvertSharedToExclusive@CCritSec@@QEAAXXZ                                                          0xf2ab3c29                                         
?ConvertSharedToExclusive@CFakeLock@@QEAAXXZ                                                         0x5f36de3c                                         
?ConvertSharedToExclusive@CLKRHashTable@@QEBAXXZ                                                     0x9b5887b2                                         
?ConvertSharedToExclusive@CLKRLinearHashTable@@QEBAXXZ                                               0xc77b2fad                                         
?ConvertSharedToExclusive@CReaderWriterLock2@@QEAAXXZ                                                0x668d8587                                         
?ConvertSharedToExclusive@CReaderWriterLock3@@QEAAXXZ                                                0x6a9816a8                                         
?ConvertSharedToExclusive@CReaderWriterLock3AR@@QEAAXXZ                                              0xbcd2423b                                         
?ConvertSharedToExclusive@CReaderWriterLock@@QEAAXXZ                                                 0xa05162b5                                         
?ConvertSharedToExclusive@CSmallSpinLock@@QEAAXXZ                                                    0xc0650b18                                         
?ConvertSharedToExclusive@CSpinLock@@QEAAXXZ                                                         0x5a17bb9f                                         
?CreateHolder@@YAJPEAUIGPDispenser@@HIPEAPEAUIGPHolder@@@Z                                           0x8b87e77c                                         
?DeleteIf@CLKRHashTable@@QEAAKP6A?AW4LK_PREDICATE@@PEBXPEAX@Z1@Z                                     0x5cb49c7c                                         
?DeleteIf@CLKRLinearHashTable@@QEAAKP6A?AW4LK_PREDICATE@@PEBXPEAX@Z1@Z                               0x8f464fb7                                         
?DeleteKey@CLKRHashTable@@QEAA?AW4LK_RETCODE@@_K@Z                                                   0xa08dcadb                                         
?DeleteKey@CLKRLinearHashTable@@QEAA?AW4LK_RETCODE@@_K@Z                                             0xc0aedaf6                                         
?DeleteRecord@CLKRHashTable@@QEAA?AW4LK_RETCODE@@PEBX@Z                                              0x771d9cd6                                         
?DeleteRecord@CLKRLinearHashTable@@QEAA?AW4LK_RETCODE@@PEBX@Z                                        0xfd316831                                         
?End@CLKRHashTable@@QEAA?AVCLKRHashTable_Iterator@@XZ                                                0xcb287f74                                         
?End@CLKRLinearHashTable@@QEAA?AVCLKRLinearHashTable_Iterator@@XZ                                    0x32852b6a                                         
?EqualRange@CLKRHashTable@@QEAA_N_KAEAVCLKRHashTable_Iterator@@1@Z                                   0x74e455b9                                         
?EqualRange@CLKRLinearHashTable@@QEAA_N_KAEAVCLKRLinearHashTable_Iterator@@1@Z                       0xd6ae94cf                                         
?Erase@CLKRHashTable@@QEAA_NAEAVCLKRHashTable_Iterator@@0@Z                                          0xdec995f9                                         
?Erase@CLKRHashTable@@QEAA_NAEAVCLKRHashTable_Iterator@@@Z                                           0x3d0ddfe9                                         
?Erase@CLKRLinearHashTable@@QEAA_NAEAVCLKRLinearHashTable_Iterator@@0@Z                              0x3688834f                                         
?Erase@CLKRLinearHashTable@@QEAA_NAEAVCLKRLinearHashTable_Iterator@@@Z                               0xcb597a7f                                         
?FOCopyFile@CExFileOperation@@QEAAJPEBG0H@Z                                                          0x0d980fd7                                         
?FOCopyFileDACLS@CExFileOperation@@QEAAJPEBG0@Z                                                      0x79275896                                         
?FODeleteFile@CExFileOperation@@QEAAJPEBG@Z                                                          0x9be10577                                         
?FOMoveFile@CExFileOperation@@QEAAJPEBG0@Z                                                           0x375a7deb                                         
?FOReplaceFile@CExFileOperation@@QEAAJPEBG0@Z                                                        0x5128ccb0                                         
?Find@CLKRHashTable@@QEAA_N_KAEAVCLKRHashTable_Iterator@@@Z                                          0x40c8ba64                                         
?Find@CLKRLinearHashTable@@QEAA_N_KAEAVCLKRLinearHashTable_Iterator@@@Z                              0x29f398ba                                         
?FindKey@CLKRHashTable@@QEBA?AW4LK_RETCODE@@_KPEAPEBX@Z                                              0x4686284f                                         
?FindKey@CLKRLinearHashTable@@QEBA?AW4LK_RETCODE@@_KPEAPEBX@Z                                        0x1041768a                                         
?FindRecord@CLKRHashTable@@QEBA?AW4LK_RETCODE@@PEBX@Z                                                0x392c22e5                                         
?FindRecord@CLKRLinearHashTable@@QEBA?AW4LK_RETCODE@@PEBX@Z                                          0x458618c0                                         
?First@CDoubleList@@QEBAQEAVCListEntry@@XZ                                                           0xb02ec16f                                         
?First@CLockedDoubleList@@QEAAQEAVCListEntry@@XZ                                                     0xbaa31ca0                                         
?Free@CLKRhashDefaultAllocator@@UEAA_NPEAXW4Type@CLKRhashAllocator@@@Z                               0x4bafd6ab                                         
?GetBackupFile@CEXAutoBackupFile@@QEAAHPEAPEAG@Z                                                     0x7e8f70f6                                         
?GetBucketLockSpinCount@CLKRHashTable@@QEBAGXZ                                                       0x0f578a78                                         
